,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
200068,eaa8fb41-9af2-4c3f-9dcb-6b90251f3094,698029,244390,2021-06-20 15:48:25.971000+00:00,12,FALSE,FALSE,2021-06-20 15:48:59.590000+00:00,,,de,21171,55.5,0,0.560316665967306,0,0,0,0,0,698500,244500,2021-06-20 15:50:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.34307757977397,8.735876738306292
200073,eab5a511-eb12-40c5-bfe7-ab7dc90b9a55,585621,221140,2021-06-20 15:00:02.377000+00:00,10,TRUE,TRUE,2021-06-20 15:39:11.428000+00:00,,,de,21171,,1,39.1508499979973,1,0,0,0,0,585500,221500,2021-06-20 15:00:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.14107925699188,7.2490737443811835
200074,eab5a511-eb12-40c5-bfe7-ab7dc90b9a55,585621,221140,2021-06-20 16:52:40.303000+00:00,11,FALSE,TRUE,2021-06-20 16:53:43.340000+00:00,,,de,21171,62.5,0,1.0506166656812,0,0,0,0,0,585500,221500,2021-06-20 16:55:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.14107925699188,7.2490737443811835
200077,eab5a511-eb12-40c5-bfe7-ab7dc90b9a55,614183,178171,2021-06-20 14:41:25.075000+00:00,10,TRUE,TRUE,2021-06-20 15:38:42.047000+00:00,,,de,21171,53.5,0,57.2828666647275,1,0,0,0,0,614500,178500,2021-06-20 14:40:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.75457468031101,7.624266215099087
200108,eb2cf002-2c91-476f-ba8d-92b172efa93a,599485,197825,2021-06-20 13:56:59.350000+00:00,11,FALSE,FALSE,2021-06-20 13:57:05.569000+00:00,,,de,21171,56.0,0,0.103650001684825,0,0,0,0,0,599500,197500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.931517984646945,7.431870129651787
200120,eb3937fe-2c93-470c-b6b1-158618f2ad1c,613961,192119,2021-06-20 13:59:40.990000+00:00,12,TRUE,TRUE,2021-06-20 14:00:01.952000+00:00,,,de,21171,63.5,0,0.349366664886475,0,0,0,0,0,613500,192500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.880046239289705,7.621784885482682
200137,eb6875b7-b18a-48eb-9c0f-16dcdc83d881,677354,231001,2021-06-20 15:21:20.727000+00:00,12,FALSE,FALSE,2021-06-20 15:21:32.800000+00:00,,,de,21171,60.0,0,0.201216665903727,0,0,0,0,0,677500,231500,2021-06-20 15:20:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.22541063054584,8.460006695077226
200152,eb8aa577-b8b1-4d97-86b2-013234175d16,608573,191310,2021-06-20 13:52:35.283000+00:00,12,FALSE,FALSE,2021-06-20 13:52:44.333000+00:00,,,de,21171,63.0,0,0.150833332538605,0,0,0,0,0,608500,191500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.87285984924299,7.551085959993761
200177,ebe1598b-facb-483c-a877-600ed826113c,677265,246613,2021-06-20 15:36:14.298000+00:00,12,FALSE,FALSE,2021-06-20 15:44:36.926000+00:00,,,de,21171,56.0,0,8.37713333368301,0,0,0,0,0,677500,246500,2021-06-20 15:35:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.36583068517743,8.461518407355488
200190,ec01d523-5203-4dad-b4f2-519a1c7ed4b4,556309,152818,2021-06-20 12:56:29.347000+00:00,10,FALSE,FALSE,2021-06-20 12:56:38.774000+00:00,,,fr,21171,60.5,0,0.157116667429606,0,0,0,0,0,556500,152500,2021-06-20 12:55:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.52522872298171,6.8692211451993215
200191,ec01d523-5203-4dad-b4f2-519a1c7ed4b4,556310,152818,2021-06-20 16:03:58.242000+00:00,10,FALSE,FALSE,2021-06-20 16:04:05.747000+00:00,,,fr,21171,55.0,0,0.125083331267039,0,0,0,0,0,556500,152500,2021-06-20 16:05:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.52522878842183,6.869234177601526
200194,ec140ca4-dad2-4e27-87b1-2d45218189a4,554436,165626,2021-06-20 16:15:43.260000+00:00,12,TRUE,FALSE,2021-06-20 17:51:50.053000+00:00,,,fr,21171,62.5,0,96.1132166663806,1,0,0,0,0,554500,165500,2021-06-20 16:15:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.64031541576347,6.8435425230546825
200195,ec140ca4-dad2-4e27-87b1-2d45218189a4,554434,165622,2021-06-20 17:50:58.678000+00:00,12,TRUE,FALSE,2021-06-20 17:51:04.435000+00:00,,,fr,21171,39.0,0,0.0959499994913737,0,0,0,0,0,554500,165500,2021-06-20 17:50:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.640279297909174,6.843516799936503
