,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
150216,0002a48a-d8d5-465c-933f-f275105cb600,499473,134331,2021-06-20 15:39:36.989000+00:00,11,FALSE,FALSE,2021-06-20 15:39:58.161000+00:00,,,fr,21171,52.0,0,0.352866665522257,0,0,0,0,0,499500,134500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.35281555889683,6.132600019307196
150221,000E904A-DBA2-4D60-B071-E5A9D5A33D15,600947,202365,2021-06-20 08:32:59.629000+00:00,10,FALSE,FALSE,2021-06-20 08:33:27.794000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.469416666030884,0,0,0,0,0,600500,202500,2021-06-20 08:35:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.972355739856674,7.451076881009722
150243,0022f850-18d2-426e-8dca-1e8c95724b48,550927,168583,2021-06-20 16:13:35.081000+00:00,12,FALSE,FALSE,2021-06-20 16:13:53.861000+00:00,,,fr,21171,63.5,0,0.312999999523163,0,0,0,0,0,550500,168500,2021-06-20 16:15:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.6666650862473,6.7973983581863955
150245,002430d8-1e9f-4529-9e4a-29de8288d906,613166,187430,2021-06-20 13:59:04.178000+00:00,14,FALSE,FALSE,2021-06-20 13:59:19.824000+00:00,,,de,21171,63.5,0,0.260766665140788,0,0,0,0,0,613500,187500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.83788349817786,7.611220828307231
150257,003d8a0b-56b9-4ad2-877a-693f3630345d,677657,254612,2021-06-20 16:30:19.255000+00:00,10,FALSE,FALSE,2021-06-20 16:30:41.711000+00:00,,,de,21171,38.0,0,0.374266664187113,0,0,0,0,0,677500,254500,2021-06-20 16:30:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.43772287722663,8.468096516562294
150273,004e9b0b-0a64-40e1-93c9-c4c18b185854,682478,251892,2021-06-20 15:50:50.745000+00:00,12,FALSE,FALSE,2021-06-20 15:50:58.040000+00:00,,,de,21171,58.5,0,0.121583334604899,0,0,0,0,0,682500,251500,2021-06-20 15:50:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.412674791609874,8.531496700907246
150275,00511c7d-c33a-4f65-ab2a-f90f74de310d,652097,215075,2021-06-20 15:07:55.641000+00:00,14,TRUE,TRUE,2021-06-20 15:24:14.881000+00:00,,,de,21171,59.5,0,16.3206666668256,0,0,0,0,0,652500,215500,2021-06-20 15:10:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,47.08463865790845,8.124697938391419
150295,00671E82-60AB-4B0A-94C6-A6A08148268D,697250,262766,2021-06-20 16:12:15.453000+00:00,11,FALSE,FALSE,2021-06-20 16:12:24.063000+00:00,ios-14.6,210527.1436.9923,de,21171,59.5,0,0.143499998251597,0,0,0,0,0,697500,262500,2021-06-20 16:10:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.50844634433816,8.729570476595217
150320,00923FC1-4E41-42F1-B6BB-E2B0052B059F,605534,198062,2021-06-20 13:55:50.403000+00:00,11,FALSE,FALSE,2021-06-20 13:56:06.733000+00:00,ios-12.4,210527.1436.9923,de,21171,57.5,0,0.272166665395101,0,0,0,0,0,605500,198500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.93362763610806,7.511304403090634
150330,009ddb17-9c49-446f-afb1-8d212d9411e1,698777,262597,2021-06-20 16:13:00.361000+00:00,12,FALSE,FALSE,2021-06-20 16:13:16.014000+00:00,,,de,21171,59.5,0,0.260883331298828,0,0,0,0,0,698500,262500,2021-06-20 16:15:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.506698865287284,8.749799438962544
150346,00CDC95E-6A99-4229-8131-BB7AF9319E1C,569022,157189,2021-06-20 13:20:22.435000+00:00,12,FALSE,FALSE,2021-06-20 13:20:32.830000+00:00,ios-14.6,210527.1436.9923,fr,21171,46.5,0,0.173249999682109,0,0,0,0,0,569500,157500,2021-06-20 13:20:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.56525902114631,7.0346101175044025
150351,00DAF7F5-73CC-4726-B8EC-9C6CD4A4234B,694715,239498,2021-06-20 14:07:36.650000+00:00,10,FALSE,TRUE,2021-06-20 14:08:13.349000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.611649998029073,0,0,0,0,0,694500,239500,2021-06-20 14:10:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.29956706585176,8.690995858696665
150357,00DE1390-0098-488B-B6AA-3A780A8CF2C1,602482,198571,2021-06-20 17:28:03.636000+00:00,11,FALSE,FALSE,2021-06-20 17:28:17.644000+00:00,ios-14.6,210527.1436.9923,de,21171,54.5,0,0.233466668923696,0,0,0,0,0,602500,198500,2021-06-20 17:30:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.93822428695992,7.471228693295199
150362,00E628CE-3BDD-4D9D-A43D-25657F0C5F93,643795,199849,2021-06-20 14:27:34.872000+00:00,13,FALSE,FALSE,2021-06-20 14:27:47.586000+00:00,ios-14.6,210527.1436.9923,de,21171,63.5,0,0.211899999777476,0,0,0,0,0,643500,199500,2021-06-20 14:30:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.94828402010696,8.013904032485097
150364,00EC10B8-7E79-44CF-8B80-FF57B2010DEB,561253,132837,2021-06-20 17:45:17.916000+00:00,13,FALSE,FALSE,2021-06-20 17:45:26.112000+00:00,ios-14.6,210527.1436.9923,fr,21171,,1,0.136600001653036,0,0,0,0,0,561500,132500,2021-06-20 17:45:00+00:00,1,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.34579627154025,6.9353285749638145
150369,00F5E802-9DEC-43B9-9647-DD675097A58A,652458,215213,2021-06-20 14:42:58.409000+00:00,12,FALSE,FALSE,2021-06-20 14:43:14.408000+00:00,ios-14.6,210527.1436.9923,de,21171,62.0,0,0.266650001207988,0,0,0,0,0,652500,215500,2021-06-20 14:45:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.08585143821233,8.129467710709065
150370,00F8DD7A-A190-49F7-8C08-7CF3BA61748A,672464,226856,2021-06-20 03:00:48.143000+00:00,12,FALSE,FALSE,2021-06-20 03:01:02.957000+00:00,ios-14.6,210527.1436.9923,de,21171,37.0,0,0.246900002161662,0,0,0,0,0,672500,226500,2021-06-20 03:00:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.188684785572704,8.394779198918286
150389,00c3ea1b-87cd-48ca-a790-2b5ee5ded23a,676157,238520,2021-06-20 15:30:08.650000+00:00,13,FALSE,FALSE,2021-06-20 15:30:21.725000+00:00,,,de,21171,59.5,0,0.217916663487752,0,0,0,0,0,676500,238500,2021-06-20 15:30:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.293174156841026,8.445476964431508
150404,00eacdba-7de4-4301-8170-ddf3e73e7716,659336,216060,2021-06-20 14:56:30.953000+00:00,13,FALSE,FALSE,2021-06-20 14:57:04.828000+00:00,,,de,21171,64.0,0,0.564583333333333,0,0,0,0,0,659500,216500,2021-06-20 14:55:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.09288966255807,8.220151900244511
150408,0108AE35-857F-4E22-8941-8142D1C1EB77,588856,178160,2021-06-20 13:23:18.428000+00:00,13,FALSE,FALSE,2021-06-20 13:23:24.713000+00:00,ios-14.6,210527.1436.9923,de,21171,64.5,0,0.104750001430511,0,0,0,0,0,588500,178500,2021-06-20 13:25:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.75453077716609,7.292780846269851
150416,010EBDFB-D9BA-406F-A0E2-4188C6B56CD9,658272,259256,2021-06-20 14:45:29.181000+00:00,10,FALSE,FALSE,2021-06-20 14:45:38.062000+00:00,ios-14.6,210505.936.9919,de,21171,,1,0.148016667366028,0,0,0,0,0,658500,259500,2021-06-20 14:45:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.481490488155735,8.211741798654524
150420,0113B23F-A78B-4978-B085-799323FF98C7,679840,248446,2021-06-20 15:39:14.066000+00:00,11,FALSE,FALSE,2021-06-20 15:39:37.249000+00:00,ios-14.6,210527.1436.9923,de,21171,56.0,0,0.386383334795634,0,0,0,0,0,679500,248500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.38200876006065,8.495931098435937
150448,012D2E3D-9000-41B4-9FD1-A60BA75FB08E,623697,250714,2021-06-20 14:33:13.323000+00:00,16,FALSE,FALSE,2021-06-20 14:33:19.943000+00:00,ios-14.5.1,210527.1436.9923,de,21171,38.5,0,0.110333335399628,0,0,0,0,0,623500,250500,2021-06-20 14:35:00+00:00,0,2021-06-20,2021-06,2021,Tennis ball,68 [mm],68.0,47.406816769017325,7.7525769047103275
150469,014621C4-E51D-4391-AEAE-5EAB3B85259A,700657,260200,2021-06-20 16:12:04.305000+00:00,12,FALSE,FALSE,2021-06-20 16:13:08.006000+00:00,ios-14.6,210527.1436.9923,en,21171,59.5,0,1.06168333292007,0,0,0,0,0,700500,260500,2021-06-20 16:10:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.484858372647835,8.774208401654505
150476,01496C29-A55C-400E-B972-02B435B34F51,701673,266765,2021-06-20 16:44:26.018000+00:00,11,FALSE,FALSE,2021-06-20 16:44:32.509000+00:00,ios-14.6,210527.1436.9923,de,21171,53.5,0,0.108183336257935,0,0,0,0,0,701500,266500,2021-06-20 16:45:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.54373787689409,8.789186039013778
150478,0149A890-249D-48A6-A3D6-A99E1AD02AB3,672561,226971,2021-06-20 15:22:09.919000+00:00,12,FALSE,FALSE,2021-06-20 15:22:16.544000+00:00,ios-14.6,210527.1436.9923,de,21171,60.5,0,0.110416666666667,0,0,0,0,0,672500,226500,2021-06-20 15:20:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.189708464814125,8.396077482266978
150481,014D65C8-443B-41FE-96A2-A14531659775,683090,240364,2021-06-20 15:31:02.215000+00:00,11,FALSE,FALSE,2021-06-20 15:31:13.860000+00:00,ios-14.6,210527.1436.9923,en,21171,59.0,0,0.194083333015442,0,0,0,0,0,683500,240500,2021-06-20 15:30:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.308921838906215,8.537466096540083
150482,014DA8CB-7322-47CE-800C-480D28963309,609959,188000,2021-06-20 13:53:14.532000+00:00,12,FALSE,FALSE,2021-06-20 13:53:23.017000+00:00,ios-14.6,210527.1436.9923,de,21171,63.5,0,0.141416664918264,0,0,0,0,0,609500,187500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.843066248884924,7.569194334311466
150495,015A102B-B545-4117-B8EB-509F537CC1D4,538367,180533,2021-06-20 13:44:22.312000+00:00,10,FALSE,TRUE,2021-06-20 13:45:01.495000+00:00,ios-14.6,210527.1436.9923,fr,21171,43.5,0,0.653049997488658,0,0,0,0,0,538500,180500,2021-06-20 13:45:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.77311151335555,6.631677691982862
150502,016E6C30-F87A-489B-9F9C-8BCE2AD28AC8,609211,191392,2021-06-20 13:44:04+00:00,12,TRUE,TRUE,2021-06-21 14:44:51.723000+00:00,ios-14.6,210527.1436.9923,fr,21171,63.0,0,1500.79538333416,1,0,0,0,0,609500,191500,2021-06-20 13:45:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.873588993602525,7.5594562466392725
150503,016EC262-837C-413A-A008-FC4851A8BD6C,759224,190621,2021-06-20 21:30:34.944000+00:00,10,FALSE,FALSE,2021-06-20 21:30:39.165000+00:00,ios-14.6,210527.1436.9923,de,21171,45.5,0,0.0703499992688497,0,0,0,0,0,759500,190500,2021-06-20 21:30:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.8476634654825,9.526445698130674
150510,017094B7-B0CC-4593-8C5E-ED545943C212,589250,213387,2021-06-20 12:19:49.594000+00:00,13,FALSE,FALSE,2021-06-20 12:20:07.692000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.301633330186208,0,0,0,0,0,589500,213500,2021-06-20 12:20:00+00:00,1,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.07141132190949,7.297099699777628
150534,018AAA74-41FD-49F9-B1D9-66FE0D31AAD5,661827,220034,2021-06-20 14:56:04.656000+00:00,13,FALSE,TRUE,2021-06-20 14:56:22.973000+00:00,ios-14.4.2,210527.1436.9923,de,21171,64.0,0,0.305283335844676,0,0,0,0,0,661500,220500,2021-06-20 14:55:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.12840565723704,8.253502217602925
150550,019957FD-7ADA-49ED-9ADA-7BEC3CD0FA52,493856,114370,2021-06-20 12:05:10.843000+00:00,10,FALSE,FALSE,2021-06-20 12:05:14.770000+00:00,ios-14.6,210527.1436.9923,fr,21171,,1,0.0654500007629395,0,0,0,0,0,493500,114500,2021-06-20 12:05:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.172415931202806,6.064187748679074
150566,01D0A299-3073-4044-9ABB-D10C5CBC372C,498035,114538,2021-06-20 17:40:30.350000+00:00,10,FALSE,FALSE,2021-06-20 17:40:50.636000+00:00,ios-14.6,210527.1436.9923,fr,21171,,1,0.338100000222524,0,0,0,0,0,498500,114500,2021-06-20 17:40:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.174573472256,6.118254544682553
150594,01d1f397-0d98-4279-9a7e-edf96c77887b,663916,216648,2021-06-20 15:08:27.567000+00:00,13,FALSE,FALSE,2021-06-20 15:08:36.504000+00:00,,,de,21171,64.0,0,0.148950000603994,0,0,0,0,0,663500,216500,2021-06-20 15:10:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.09775238659327,8.280554268415829
150598,01d53728-6da7-4a9f-ae45-4c343ddb5e2f,497338,113525,2021-06-20 14:47:13.618000+00:00,10,FALSE,FALSE,2021-06-20 14:47:22.620000+00:00,,,fr,21171,52.0,0,0.150033330917358,0,0,0,0,0,497500,113500,2021-06-20 14:45:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.16535622935241,6.1094530257261335
150602,01db51df-21b3-4028-8fbf-f03d22608f7c,679764,247367,2021-06-20 15:39:07.993000+00:00,12,FALSE,FALSE,2021-06-20 15:39:11.391000+00:00,,,de,21171,57.0,0,0.0566333333651225,0,0,0,0,0,679500,247500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.37231404986863,8.494732477139882
150629,0206581B-BC8E-4FB4-B747-0E4AF59D31B2,612541,181729,2021-06-20 13:51:25.647000+00:00,13,FALSE,FALSE,2021-06-20 13:51:37.272000+00:00,ios-14.6,210527.1436.9923,de,21171,62.0,0,0.19375,0,0,0,0,0,612500,181500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.78661305426361,7.602872399789216
150634,020D11F3-33B5-41B9-87A6-F2AFAADE232F,575511,205954,2021-06-20 13:02:41.366000+00:00,11,FALSE,FALSE,2021-06-20 13:02:45.820000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.0742333332697551,0,0,0,0,0,575500,205500,2021-06-20 13:05:00+00:00,1,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.004184728371186,7.1166216239017785
150636,0216e2c3-363d-4b0f-8441-9c24d4a9a3e9,576451,252811,2021-06-20 13:40:19.502000+00:00,10,FALSE,FALSE,2021-06-20 13:40:37.254000+00:00,,,fr,21171,58.5,0,0.295866664250692,0,0,0,0,0,576500,252500,2021-06-20 13:40:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.42567741382891,7.126521457606523
150642,021adf0a-b292-4648-91ae-05504e2f856f,560822,134749,2021-06-20 16:19:05.465000+00:00,11,FALSE,FALSE,2021-06-20 16:19:25.457000+00:00,,,fr,21171,61.5,0,0.333200001716614,0,0,0,0,0,560500,134500,2021-06-20 16:20:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.36297047103713,6.9295685780226135
150648,02246330-ABA4-4AFE-B32B-6DF75F0D7578,678681,244432,2021-06-20 15:35:30.366000+00:00,13,FALSE,FALSE,2021-06-20 15:35:48.898000+00:00,ios-12.5.3,210527.1436.9923,de,21171,56.0,0,0.308866667747498,0,0,0,0,0,678500,244500,2021-06-20 15:35:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.3460483079427,8.4798792275981
150660,022ba03b-2ace-4d49-a3dc-fb84eade1297,652221,212453,2021-06-20 14:46:01.100000+00:00,13,FALSE,FALSE,2021-06-20 14:46:07.692000+00:00,,,de,21171,62.0,0,0.109866666793823,0,0,0,0,0,652500,212500,2021-06-20 14:45:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.06104501987988,8.126028512358085
150666,023574EF-B6EC-4B25-8C21-7462E0A351F7,686205,257084,2021-06-20 15:59:46.353000+00:00,13,FALSE,FALSE,2021-06-20 15:59:56.605000+00:00,ios-13.3.1,210527.1436.9923,de,21171,57.5,0,0.170866668224335,0,0,0,0,0,686500,257500,2021-06-20 16:00:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.45888972909159,8.581876623661739
150675,02401D93-798C-4A28-AB0D-6A07EED22A88,533980,155228,2021-06-20 14:20:00.348000+00:00,10,FALSE,FALSE,2021-06-20 14:20:12.670000+00:00,ios-14.6,210527.1436.9923,fr,21171,,1,0.205366667111715,0,0,0,0,0,533500,155500,2021-06-20 14:20:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.54507282686153,6.577884616570945
150688,024A7287-6D73-4D4F-B906-24D93FE0922D,686058,256233,2021-06-20 15:58:01.078000+00:00,12,FALSE,TRUE,2021-06-20 15:58:31.039000+00:00,ios-14.4.2,210527.1436.9923,de,21171,57.5,0,0.499349999427795,0,0,0,0,0,686500,256500,2021-06-20 16:00:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.45125586872933,8.579763265428129
150697,0255A3A1-3623-43B9-B923-1AE2C76B19CB,571578,163500,2021-06-20 13:05:25.998000+00:00,12,FALSE,FALSE,2021-06-20 13:05:36.406000+00:00,ios-14.6,210527.1436.9923,fr,21171,66.5,0,0.17346666653951,0,0,0,0,0,571500,163500,2021-06-20 13:05:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.622143237033534,7.06755553233904
150705,026C5AD9-7409-455E-BFBB-74286028584A,497680,125880,2021-06-20 08:06:36.978000+00:00,12,FALSE,FALSE,2021-06-20 08:06:45.874000+00:00,ios-14.4.2,210527.1436.9923,fr,21171,,1,0.148266669114431,0,0,0,0,0,497500,125500,2021-06-20 08:05:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.27653313565609,6.111169991543666
150729,0283E4CD-A5E1-4B3F-A63D-AF069D181343,681724,249080,2021-06-20 15:39:56.337000+00:00,12,FALSE,TRUE,2021-06-20 15:40:19.962000+00:00,ios-14.6,210527.1436.9923,de,21171,57.0,0,0.39375,0,0,0,0,0,681500,249500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.38747956329142,8.520993224535841
150749,029F137E-B513-4123-A0FA-ED29A2060371,679479,247235,2021-06-20 15:36:35.524000+00:00,12,FALSE,FALSE,2021-06-20 15:36:46.343000+00:00,ios-14.6,210527.1436.9923,de,21171,56.0,0,0.180316666762034,0,0,0,0,0,679500,247500,2021-06-20 15:35:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.37116134877323,8.490935981368192
150753,029d030e-16e8-4556-80ff-9b30d98ddd3e,662449,244466,2021-06-20 11:58:04.084000+00:00,12,FALSE,FALSE,2021-06-20 11:58:24.139000+00:00,,,de,21171,,1,0.334249997138977,0,0,0,0,0,662500,244500,2021-06-20 12:00:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.34809122655298,8.26508981818614
150762,02B2299F-6A27-4286-B8C0-485118C16A82,617213,170373,2021-06-20 14:27:30.683000+00:00,10,FALSE,FALSE,2021-06-20 14:27:40.330000+00:00,ios-14.6,210527.1436.9923,de,21171,49.0,0,0.160783330599467,0,0,0,0,0,617500,170500,2021-06-20 14:30:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.684357248118474,7.663631684611196
150788,02FE9A8F-A9CE-4307-848D-CB7F4CFEDBAB,688863,283364,2021-06-20 09:22:07.571000+00:00,10,FALSE,FALSE,2021-06-20 09:22:10.893000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.0553666631380717,0,0,0,0,0,688500,283500,2021-06-20 09:20:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.69486208338226,8.622379447144043
150789,02FE9A8F-A9CE-4307-848D-CB7F4CFEDBAB,688863,283364,2021-06-20 09:21:41.868000+00:00,15,FALSE,FALSE,2021-06-20 09:21:58.509000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.277350000540415,0,0,0,0,0,688500,283500,2021-06-20 09:20:00+00:00,1,2021-06-20,2021-06,2021,Golf ball,43 [mm],43.0,47.69486208338226,8.622379447144043
150797,02aa7d9b-bc70-435d-a236-26ba31f43053,570855,160198,2021-06-20 13:45:33.703000+00:00,12,FALSE,FALSE,2021-06-20 13:46:02+00:00,,,fr,21171,39.5,0,0.471616665522258,0,0,0,0,0,570500,160500,2021-06-20 13:45:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.592409023973836,7.058325704671698
150805,02c7b449-0c2e-4be6-97e3-8732b614d7c8,537710,155824,2021-06-20 11:56:48.021000+00:00,10,FALSE,FALSE,2021-06-20 11:57:05.720000+00:00,,,fr,21171,,1,0.294983335336049,0,0,0,0,0,537500,155500,2021-06-20 11:55:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.550792272160976,6.626431402707166
150809,02d93671-fc46-446b-bb92-65e58874d6f7,676626,236872,2021-06-20 15:30:59.507000+00:00,12,FALSE,FALSE,2021-06-20 15:31:05.849000+00:00,,,de,21171,59.5,0,0.105700000127157,0,0,0,0,0,676500,236500,2021-06-20 15:30:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.278298187496446,8.45139563789983
150813,02dee440-902d-41ca-881d-a566323c32ac,572874,154204,2021-06-20 12:49:12.528000+00:00,12,TRUE,TRUE,2021-06-20 13:27:38.782000+00:00,,,fr,21171,66.0,0,38.4375666658084,1,0,0,0,0,572500,154500,2021-06-20 12:50:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.53857536137026,7.085024967146696
150823,03071bf1-ca44-4957-8f2c-84aa488bfb16,614537,178994,2021-06-20 17:40:23.332000+00:00,12,FALSE,FALSE,2021-06-20 17:40:30.209000+00:00,,,de,21171,56.5,0,0.114616668224335,0,0,0,0,0,614500,178500,2021-06-20 17:40:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.76197029808732,7.62892544381873
150843,03239271-CF5C-43EA-87B5-BC396DAB416F,683483,248336,2021-06-20 15:52:39.552000+00:00,13,FALSE,FALSE,2021-06-20 15:52:45.456000+00:00,ios-14.6,210527.1436.9923,en,21171,59.5,0,0.0984000007311503,0,0,0,0,0,683500,248500,2021-06-20 15:55:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.38056796230738,8.544147894011706
150855,033be72b-1183-48fc-b812-197f96fe97c8,613258,192324,2021-06-20 17:38:18.816000+00:00,10,FALSE,FALSE,2021-06-20 17:38:32.443000+00:00,,,de,21171,52.0,0,0.227116668224335,0,0,0,0,0,613500,192500,2021-06-20 17:40:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.88190459012817,7.612568351369007
150877,034a798e-6d05-4842-ae8b-8f199729042a,676720,237343,2021-06-20 15:29:30.233000+00:00,13,FALSE,FALSE,2021-06-20 15:29:40.576000+00:00,,,en,21171,59.5,0,0.172383332252502,0,0,0,0,0,676500,237500,2021-06-20 15:30:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.28252332695888,8.452718339277775
150887,0356e051-9e81-4175-8744-8367cc6cb129,604278,189982,2021-06-20 13:52:05.412000+00:00,13,FALSE,FALSE,2021-06-20 13:52:21.527000+00:00,,,de,21171,63.5,0,0.268583333492279,0,0,0,0,0,604500,189500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.86095516636966,7.494736160743471
150892,03602ede-7ef7-4095-a66f-eeb1eb837b59,540338,165205,2021-06-20 15:36:31.840000+00:00,12,FALSE,FALSE,2021-06-20 15:37:06.751000+00:00,,,fr,21171,50.5,0,0.581850000222524,0,0,0,0,0,540500,165500,2021-06-20 15:35:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.63541547839108,6.65947892218781
150913,0377752b-5b99-413b-bb80-b56b84821946,681223,249090,2021-06-20 15:40:58.896000+00:00,11,FALSE,FALSE,2021-06-20 15:41:18.601000+00:00,,,de,21171,57.0,0,0.328416669368744,0,0,0,0,0,681500,249500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.3876314567521,8.514360534132283
150918,038AD57D-EA7A-48E7-B4FF-3631F45CE7B3,626495,235243,2021-06-20 14:22:39.073000+00:00,12,FALSE,FALSE,2021-06-20 14:23:05.041000+00:00,ios-14.6,210527.1436.9923,de,21171,40.5,0,0.432799998919169,0,0,0,0,0,626500,235500,2021-06-20 14:25:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.26756002553739,7.7887333078364955
150919,038AD57D-EA7A-48E7-B4FF-3631F45CE7B3,626500,235233,2021-06-20 17:07:28.806000+00:00,12,FALSE,FALSE,2021-06-20 17:07:36.633000+00:00,ios-14.6,210527.1436.9923,de,21171,46.0,0,0.130449998378754,0,0,0,0,0,626500,235500,2021-06-20 17:05:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.26746988076925,7.788798788702277
150929,03977AEA-4FFB-4167-B64C-C3FFDFAEE6C6,586109,220477,2021-06-20 16:34:27.568000+00:00,12,FALSE,FALSE,2021-06-20 16:34:44.931000+00:00,ios-14.6,210527.1436.9923,de,21171,58.0,0,0.289383331934611,0,0,0,0,0,586500,220500,2021-06-20 16:35:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.13512618779199,7.255527438768638
